Date,Adj Close
01/08/2019,2952
02/08/2019,2932.5
04/08/2019,2926.75
05/08/2019,2830
06/08/2019,2876
07/08/2019,2880.5
08/08/2019,2940
09/08/2019,2919.75
11/08/2019,2916.5
12/08/2019,2880.25
13/08/2019,2932
14/08/2019,2840.75
15/08/2019,2848.5
16/08/2019,2891.5
18/08/2019,2903.75
19/08/2019,2923.75
20/08/2019,2898.25
21/08/2019,2929.25
22/08/2019,2922.25
23/08/2019,2855.5
25/08/2019,2824.25
26/08/2019,2883.25
27/08/2019,2865.5
28/08/2019,2889.75
29/08/2019,2926.75
30/08/2019,2924.75
01/09/2019,2909.75
03/09/2019,2906
04/09/2019,2938.5
05/09/2019,2972
06/09/2019,2980.75
08/09/2019,2982
09/09/2019,2978.25
10/09/2019,2978.5
11/09/2019,3002
12/09/2019,3011.75
13/09/2019,3006.5
15/09/2019,2989
16/09/2019,2999
17/09/2019,3005.5
18/09/2019,3006.25
19/09/2019,3006
20/09/2019,3013.610107
22/09/2019,3002.75
23/09/2019,2997
24/09/2019,2970.25
25/09/2019,2986.25
26/09/2019,2980.5
27/09/2019,2963.75
29/09/2019,2970.5
30/09/2019,2978.5
01/10/2019,2937.75
02/10/2019,2880.5
03/10/2019,2911.75
04/10/2019,2951
06/10/2019,2941.75
07/10/2019,2937.5
08/10/2019,2892.5
09/10/2019,2919
10/10/2019,2941
11/10/2019,2970.75
13/10/2019,2979.5
14/10/2019,2965.5
15/10/2019,2997.75
16/10/2019,2991.5
17/10/2019,2998
18/10/2019,2988.25
20/10/2019,2990.25
21/10/2019,3006.5
22/10/2019,2994.5
23/10/2019,3005.75
24/10/2019,3004.25
25/10/2019,3020.25
27/10/2019,3024.25
28/10/2019,3036.25
29/10/2019,3035.75
30/10/2019,3047.75
31/10/2019,3035.75
01/11/2019,3063.25
03/11/2019,3068.25
04/11/2019,3075.75
05/11/2019,3072
06/11/2019,3075.5
07/11/2019,3086
08/11/2019,3090.5
10/11/2019,3089.75
11/11/2019,3087.5
12/11/2019,3092
13/11/2019,3095.5
14/11/2019,3097
15/11/2019,3118.25
17/11/2019,3114
18/11/2019,3121.75
19/11/2019,3118.5
20/11/2019,3109
21/11/2019,3104
22/11/2019,3111.5
24/11/2019,3118.25
25/11/2019,3132.75
26/11/2019,3143.75
27/11/2019,3153.75
29/11/2019,null
01/12/2019,3146.75
02/12/2019,3114.25
03/12/2019,3091
04/12/2019,3111
05/12/2019,3117.75
06/12/2019,3146
08/12/2019,3146.75
09/12/2019,3134.5
10/12/2019,3136
11/12/2019,3143
12/12/2019,3168
13/12/2019,3172
15/12/2019,3176
16/12/2019,3194.25
17/12/2019,3192
18/12/2019,3194.75
19/12/2019,3207
20/12/2019,3231.02002
22/12/2019,3228
23/12/2019,3227.25
24/12/2019,null
26/12/2019,3244.5
27/12/2019,3237.5
29/12/2019,3240.75
30/12/2019,3223.5
31/12/2019,3231
02/01/2020,3259
03/01/2020,3235.5
05/01/2020,3222
06/01/2020,3243.5
07/01/2020,3235.25
08/01/2020,3260.25
09/01/2020,3276
10/01/2020,3264.75
12/01/2020,3270.25
13/01/2020,3289.75
14/01/2020,3288
15/01/2020,3293.75
16/01/2020,3316.5
17/01/2020,3325
19/01/2020,3327.75
21/01/2020,3319.5
22/01/2020,3319.75
23/01/2020,3326
24/01/2020,3293.5
26/01/2020,3258.5
27/01/2020,3239.5
28/01/2020,3278.25
29/01/2020,3272.5
30/01/2020,3289.75
31/01/2020,3224
02/02/2020,3231
03/02/2020,3245.5
04/02/2020,3299.5
05/02/2020,3335
06/02/2020,3345.25
07/02/2020,3325.5
09/02/2020,3311.75
10/02/2020,3353
11/02/2020,3357.5
12/02/2020,3380.5
13/02/2020,3377.5
14/02/2020,3381
16/02/2020,3388.25
18/02/2020,3369.25
19/02/2020,3387.25
20/02/2020,3369.25
21/02/2020,3339.25
23/02/2020,3299.25
24/02/2020,3226.25
25/02/2020,3132.5
26/02/2020,3110.25
27/02/2020,3110.25
28/02/2020,2956.899902
01/03/2020,2957
02/03/2020,2951.100098
03/03/2020,3065.100098
04/03/2020,2997.100098
05/03/2020,3114.699951
06/03/2020,3015.5
08/03/2020,3015.5
09/03/2020,2964.100098
10/03/2020,2747.699951
11/03/2020,2865.75
12/03/2020,2740.300049
13/03/2020,2468.899902
15/03/2020,2468.899902
16/03/2020,2683.899902
17/03/2020,2406.25
18/03/2020,2485.5
19/03/2020,2401.399902
20/03/2020,2389
22/03/2020,2191.5
23/03/2020,2257
24/03/2020,2432.75
25/03/2020,2464.25
26/03/2020,2618.25
27/03/2020,2520
29/03/2020,2494.75
30/03/2020,2615
31/03/2020,2542
01/04/2020,2469
02/04/2020,2504.25
03/04/2020,2480.25
05/04/2020,null
06/04/2020,2656.25
07/04/2020,2644.5
08/04/2020,2746.5
09/04/2020,2787
12/04/2020,2742.5
13/04/2020,2765.5
14/04/2020,2835
15/04/2020,2754.25
16/04/2020,2863.25
17/04/2020,2869
19/04/2020,2847.5
20/04/2020,2814
21/04/2020,2736.5
22/04/2020,2775
23/04/2020,2769.5
24/04/2020,2828
26/04/2020,2817.5
27/04/2020,2869.75
28/04/2020,2871.75
29/04/2020,2947
30/04/2020,2941
01/05/2020,2902.5
03/05/2020,2776.25
04/05/2020,2821.75
05/05/2020,2867
06/05/2020,2858.25
07/05/2020,2884
08/05/2020,2930.5
10/05/2020,2936.25
11/05/2020,2914.75
12/05/2020,2829.5
13/05/2020,2816.5
14/05/2020,2852.25
15/05/2020,2854.75
17/05/2020,2868.25
18/05/2020,2949.5
19/05/2020,2924.75
20/05/2020,2966
21/05/2020,2947.25
22/05/2020,2956.25
24/05/2020,2967
26/05/2020,2989
27/05/2020,3042.5
28/05/2020,3025.25
29/05/2020,3057.25
31/05/2020,3025.5
01/06/2020,3036.75
02/06/2020,3086
03/06/2020,3123.75
04/06/2020,3110
05/06/2020,3185.25
07/06/2020,3208.75
08/06/2020,3225
09/06/2020,3216
10/06/2020,3164
11/06/2020,3031.25
12/06/2020,3035.75
14/06/2020,2994.5
15/06/2020,3091.75
16/06/2020,3133
17/06/2020,3103.75
18/06/2020,3125.25
19/06/2020,3057.75
21/06/2020,3054.25
22/06/2020,3124
